Item Number,Item Description,22/01/2025,23/01/2025,25/01/2025,27/01/2025,30/01/2025,01/02/2025,05/02/2025,08/02/2025,12/02/2025,15/02/2025,19/02/2025,22/02/2025,26/02/2025,01/03/2025,05/03/2025,08/03/2025,12/03/2025,15/03/2025,19/03/2025,22/03/2025,26/03/2025,31/03/2025,02/04/2025,05/04/2025,09/04/2025,12/04/2025,16/04/2025,19/04/2025,26/04/2025,30/04/2025,03/05/2025
"1362023","Sauce, Barbeque",,,,,,,,"35.96","35.96",,,"35.96",,,,,"35.94",,,,"35.94",,,,,,"36.01",,,,"49.87"
"1333028","Sauce, Barbeque, Portion Cup",,,,,,,,,,"23.48",,,,,,,,,,,,,,,,,,,,,"31.49"
"1333033","Sauce, Blue Cheese, Portion Cup",,,,,,,,"32.06",,,,,,,,,,,,,,,,,,,,"33.2",,,
"1362021","Sauce, Buffalo",,,,"21.79",,,,,,,"21.21",,,,,,"21.21",,,,,,,"21.06",,,,,,"21.79",
"1333030","Sauce, Buffalo, Portion Cup",,,,,,,,,,"28.99",,,,,,,,,,,,,,,,,,,,,
"1502905","Sauce, Butter Chicken",,,,,,"39.8",,,,,"39.8",,,"39.8",,,,,,,,,,"39.8",,,,,,,
"1333047","Sauce, Cheese, Portion Cup",,,,,,,,,"26.38",,,,,,,,,,,,,,,,,,,,,,
"1150622","Sauce, Creamy Garlic Dipping, Portion Cup",,,,"54.87","54.87",,"54.87",,"54.87","54.87","55.67",,,"55.67","55.67",,,"52.67","52.67","52.67","52.67",,"52.67","52.67",,,,"52.67","52.67",,"52.67"
"1302732","Sauce, Garlic Parmesan, Jug",,,,,"41.08",,,,"39.92",,,,,,,"39.81",,,,"39.81",,,,,"39.48",,"39.48",,,,"54.94"
"1325719","Sauce, Garlic, Cup",,,,"25.58","25.58","25.58","25.58",,"24.99","24.99","24.99","24.99","24.99","24.99",,"24.99","24.99","24.99",,"24.99","24.99","24.99","24.54","24.54","24.54","24.54","24.54","24.54","24.54",,"33.13"
"1261357","Sauce, Honey Chipotle",,,,,,,"23.14",,,,,,,,,,"22.75",,,,,,,,,,,,,,
"1333039","Sauce, Honey Mustard, Portion Cup",,,,,,,,,,,"28.01",,,,,,,,,,,,,,,,,"28.61",,,
"1333025","Sauce, Ranch, Portion Cup",,,,,,,,"24.41",,,,"24.41",,,"24.4","24.4",,,,,,"24.4","24.95",,,,,"24.95","24.95",,
"1503399","Sauce, Spicy Garlic, Portion Cups",,,,,"29.62",,,,,,"28.89",,,,"28.8",,,,,,,,,,"28.87",,,,,,
"1503395","Sauce, Zesty, Portion Cups",,,,,,,,,,,,,,,,,,,,,,,,,"51.69",,,,,,
"1404439","Sausage, Italian, Topping, Cooked, Frozen",,"50.27",,,,,,,,,"50.27",,"50.27","50.27",,,,,,,,,,,,,,,,,
"1291785","Sausages, Italian, Cooked, Frozen",,,,,,,,,,,,,,,,,,,,,,,,,,"34.14",,,,,
"1341931","Sausages, Old World Italian, Frozen",,"86.11",,,,,,,,,"86.11",,,,,,,,,"88.53","88.53",,,,"88.53",,,,,,
"1291715","Sausages, Pork, Cooked, Frozen",,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.47",,,
"1261358","Seasoning, Classic Italian",,,,,,,"32.41",,,,,,,,,,,,,,,,,,,,,,,,
"1476275","Seasoning, Special, Portion",,,,,,,,,,,,"17.84",,,,,,,,,,,,,,"17.84",,"17.84",,,
"1503396","Sheets, 10In Baking",,,,,"21.26",,,,,,,,,,,,"20.94","20.94",,,,,,,,,,,,,
"1503397","Sheets, 6.5In Baking",,,,,,,,,"19.71",,,,,,,,,,,,,,,,,,,,,,
"1319486","Tomatoes, Medium Stage 4/5, Bulk 6X7",,,,,,"36.98",,,,"31.54",,,,"30.18",,,,,,,,,,,,,,,,,
"1449783","Tray, Paper Oven, For Papa Bowl, Custom, Papa Johns",,,,,,,,,,,,,,,,,,,,,,,"71.3",,,,,,,,
"1261571","Trays, Paper, Garlic Bread Custom Papa Johns",,,,,"32.88",,"32.88",,,,,,,,,,,,,,,,,,"31.28",,,,,,
"1277766","Trays, Paper, Garlic Knot Cust Papa John",,,,"15.53",,,,"15.31",,"15.31",,,,"14.91","14.91",,,,,,,"14.91",,,"14.91",,,,,,
